Source,Description,ID,Units,Analyzed timeframe ,Link,Data access
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO3 = Isothermality,CHELSA BIO3,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO4 = Temperature seasonality,CHELSA BIO4,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO5 = Max temperature of warmest month,CHELSA BIO5,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO6 = Min temperature of coldest month,CHELSA BIO6,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO7 = Temperature annual range,CHELSA BIO7,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO8 = Mean temperature of wettest quarter,CHELSA BIO8,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO9 = Mean temperature of driest quarter,CHELSA BIO9,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO10 = Mean temperature of warmest quarter,CHELSA BIO10,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO11 = Mean temperature of coldest quarter,CHELSA BIO11,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO12 = Annual precipitation,CHELSA BIO12,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO13 = Precipitation of wettest month,CHELSA BIO13,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO14 = Precipitation of driest month,CHELSA BIO14,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO15 = Precipitation seasonality (coefficient of variation),CHELSA BIO15,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO16 = Precipitation of wettest quarter,CHELSA BIO16,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO17 = Precipitation of driest quarter,CHELSA BIO17,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO18 = Precipitation of warmest quarter,CHELSA BIO18,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO19 = Precipitation of coldest quarter,CHELSA BIO19,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Cloud cover spring,CRU Cld spring,%,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Cloud cover summer,CRU Cld summer,%,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Diurnal temperature range spring,CRU Dtr spring,Celsius,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Diurnal temperature range summer,CRU Dtr summer,Celsius,1901-2007,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Frost day frequency spring,CRU Frs spring,days,1901-2008,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Frost day frequency summer,CRU Frs summer,days,1901-2009,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Precipitation spring,CRU Pre spring,mm,1901-2010,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Precipitation summer,CRU Pre summer,mm,1901-2011,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Daily mean temperature spring,CRU Tmp spring,Celsius,1901-2012,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Daily mean temperature summer,CRU Tmp summer,Celsius,1901-2013,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily minimum temperature spring,CRU Tmn spring,Celsius,1901-2014,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily minimum temperature summer,CRU Tmn summer,Celsius,1901-2015,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily maximum temperature spring,CRU Tmx spring,Celsius,1901-2016,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily maximum temperature summer,CRU Tmx summer,Celsius,1901-2017,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Vapour pressure spring,CRU Vap spring,hPa,1901-2018,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Vapour pressure summer,CRU Vap summer,hPa,1901-2019,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Wet day frequency spring,CRU Wet spring,days,1901-2020,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Wet day frequency summer,CRU Wet summer,days,1901-2021,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Potential evapotranspiration spring,CRU PET spring,mm,1901-2022,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Potential evapotranspiration summer,CRU PET summer,mm,1901-2023,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,15-Mar-17
ETOPO1,Bedrock topography,Bedrock Topography,meters,NA,https://www.ngdc.noaa.gov/mgg/global/,1-Dec-16
FAO World maps of climatological net primary production of biomass,FAO Sensitivity of NPP with respect to changes in annual mean Precipitation dNPP/dT,FAO dNPPdP,g/m2/mm,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,11-Apr-17
